# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Отметка времени","Вы даете информированное согласие на участие в эксперименте и сбор данных в анонимном и обобщенном виде?","Проявляете ли вы интерес к политике?","Просматриваете ли вы федеральное ТВ?","Пожалуйста, укажите основные источники медиа-контента, из которых вы потребляете новости.","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Федеральным телеканалам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Telegram-каналам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Социальным сетям и блогам в интернете]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Месcенджерам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Правительство РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Президент РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Парламент РФ]","Доверяете ли вы данной статье?","Пожалуйста, укажите ваш возраст.","Пожалуйста, укажите ваш пол.","Пожалуйста, укажите уровень вашего образования.","Пожалуйста, укажите субъект РФ, в котором вы проживаете.","Пожалуйста, укажите размер населённого пункта, в котором вы проживаете.","Пожалуйста, укажите ваш доход. Это необходимо только для статистики."
"2025/10/16 5:56:13 PM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Совершенно не доверяю","Не уверен(а)","Скорее доверяю","Скорее не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","3","16","Мужской","Среднее общее(11 классов)","Волгоградская область","Город-миллионник(более 1 млн. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 5:58:42 PM GMT+8","Да","4","Редко","Интернет — социальные сети, блоги;Мессенджеры","Не уверен(а)","Скорее доверяю","Не уверен(а)","Скорее не доверяю","Полностью доверяю","Полностью доверяю","Полностью доверяю","4","18","Женский","Среднее общее(11 классов)","Ростовская область","Город-миллионник(более 1 млн. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/16 7:02:24 PM GMT+8","Да","4","Никогда","Интернет — социальные сети, блоги","Совершенно не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","3","23","Женский","Среднее общее(11 классов)","Московская область","Город-миллионник(более 1 млн. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/16 7:03:25 PM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Не уверен(а)","Скорее не доверяю","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","3","18","Мужской","Высшее(бакалавриат/специалитет)","Свердловская область","Крупный город(от 250 тыс. до 1 млн. чел)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/16 7:35:41 PM GMT+8","Да","5","Иногда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Скорее доверяю","Скорее доверяю","Скорее доверяю","5","18","Женский","Среднее общее(11 классов)","Брянская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 7:42:01 PM GMT+8","Да","5","Иногда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","3","16","Женский","Среднее общее(11 классов)","Самарская область","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 9:29:25 PM GMT+8","Да","5","Часто","Телевидение;Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","1","15","Мужской","Среднее основное(9 классов)","Омская область","Поселок городского типа","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/16 10:01:22 PM GMT+8","Да","5","Иногда","Телевидение;Интернет — новостные, аналитические, официальные сайты;Мессенджеры","Скорее доверяю","Полностью доверяю","Скорее не доверяю","Полностью доверяю","Не уверен(а)","Скорее доверяю","Скорее доверяю","5","17","Женский","Среднее основное(9 классов)","Москва","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/16 10:20:32 PM GMT+8","Да","5","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","5","17","Мужской","Среднее общее(11 классов)","Московская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/16 10:45:36 PM GMT+8","Да","2","Редко","Интернет — социальные сети, блоги","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","4","17","Женский","Среднее общее(11 классов)","Ростовская область","Большой город(от 100 тыс. до 250 тыс. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/16 11:52:11 PM GMT+8","Да","3","Иногда","Телевидение;Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Не уверен(а)","Скорее доверяю","Скорее не доверяю","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","5","14","Женский","Среднее основное(9 классов)","Нижегородская область","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/17 12:20:11 AM GMT+8","Да","4","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Скорее доверяю","Не уверен(а)","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","Скорее не доверяю","3","17","Женский","Среднее основное(9 классов)","Вологодская область","Крупный город(от 250 тыс. до 1 млн. чел)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/17 12:43:24 AM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Совершенно не доверяю","Не уверен(а)","Не уверен(а)","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","1","17","Мужской","Среднее основное(9 классов)","Свердловская область","Большой город(от 100 тыс. до 250 тыс. чел.)","Материальных затруднений не испытываю."
"2025/10/17 1:08:30 AM GMT+8","Да","5","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее доверяю","Не уверен(а)","Не уверен(а)","Скорее доверяю","Скорее не доверяю","Скорее не доверяю","7","17","Мужской","Среднее общее(11 классов)","Ленинградская область","Малый город(до 50 тыс. чел)","Материальных затруднений не испытываю."
"2025/10/17 2:57:37 AM GMT+8","Да","3","Иногда","Телевидение;Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Полностью доверяю","Полностью доверяю","Полностью доверяю","5","17","Женский","Среднее основное(9 классов)","Ленинградская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/17 3:59:53 PM GMT+8","Да","4","Редко","Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Не уверен(а)","Скорее не доверяю","Не уверен(а)","Скорее не доверяю","Совершенно не доверяю","Совершенно не доверяю","4","18","Мужской","Среднее общее(11 классов)","Москва","Город-миллионник(более 1 млн. чел.)","Хватает доходов на новый легковой автомобиль, но покупка недвижимости затруднительна."
"2025/10/17 7:40:09 PM GMT+8","Да","3","Никогда","Мессенджеры","Не уверен(а)","Скорее доверяю","Не уверен(а)","Скорее доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","4","19","Женский","Неоконченное высшее","Москва","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/17 8:01:58 PM GMT+8","Да","4","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Не уверен(а)","Скорее доверяю","Скорее доверяю","Скорее не доверяю","7","17","Женский","Среднее общее(11 классов)","Москва","Город-миллионник(более 1 млн. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/17 8:18:34 PM GMT+8","Да","5","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Совершенно не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","5","18","Женский","Неоконченное высшее","Москва","Город-миллионник(более 1 млн. чел.)","Материальных затруднений не испытываю."
"2025/10/18 4:01:51 AM GMT+8","Да","5","Часто","Телевидение;Интернет — новостные, аналитические, официальные сайты;Мессенджеры","Скорее доверяю","Не уверен(а)","Скорее доверяю","Скорее не доверяю","Скорее не доверяю","Скорее доверяю","Совершенно не доверяю","5","17","Мужской","Среднее общее(11 классов)","Саратовская область","Крупный город(от 250 тыс. до 1 млн. чел)","Материальных затруднений не испытываю."
"2025/10/18 11:24:06 PM GMT+8","Да","5","Никогда","Интернет — социальные сети, блоги","Совершенно не доверяю","Скорее доверяю","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","2","17","Не скажу","Среднее общее(11 классов)","Москва","Другое","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/19 10:13:51 PM GMT+8","Да","2","Иногда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","2","28","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/19 10:14:50 PM GMT+8","Да","4","Никогда","Интернет — новостные, аналитические, официальные сайты;Мессенджеры","Не уверен(а)","Скорее доверяю","Не уверен(а)","Не уверен(а)","Скорее доверяю","Полностью доверяю","Скорее доверяю","6","42","Мужской","Неоконченное высшее","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/19 10:15:48 PM GMT+8","Да","4","Иногда","Интернет — новостные, аналитические, официальные сайты","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","4","43","Мужской","Высшее(магистратура)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/19 10:28:25 PM GMT+8","Да","1","Никогда","Интернет — новостные, аналитические, официальные сайты;Мессенджеры","Не уверен(а)","Скорее доверяю","Скорее не доверяю","Совершенно не доверяю","Не уверен(а)","Скорее доверяю","Не уверен(а)","5","40","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/19 10:44:04 PM GMT+8","Да","2","Никогда","Интернет — новостные, аналитические, официальные сайты","Не уверен(а)","Скорее доверяю","Не уверен(а)","Не уверен(а)","Скорее доверяю","Скорее доверяю","Скорее доверяю","1","36","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/19 10:55:57 PM GMT+8","Да","5","Часто","Телевидение;Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","5","44","Мужской","Высшее(бакалавриат/специалитет)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/19 11:49:43 PM GMT+8","Да","1","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Совершенно не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Полностью доверяю","Полностью доверяю","Скорее доверяю","4","29","Женский","Высшее(магистратура)","Иркутская область","Малый город(до 50 тыс. чел)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/19 11:55:36 PM GMT+8","Да","2","Редко","Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","6","31","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/19 11:56:23 PM GMT+8","Да","1","Редко","Интернет — социальные сети, блоги","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","3","31","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Средний город(от 50 тыс. до 100 тыс. чел.)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/20 12:00:08 AM GMT+8","Да","4","Редко","Интернет — социальные сети, блоги;Мессенджеры","Не уверен(а)","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","Полностью доверяю","4","18","Женский","Среднее общее(11 классов)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","На продукты денег хватает, но покупка одежды вызывает затруднения."
"2025/10/20 12:02:14 AM GMT+8","Да","5","Иногда","Телевидение;Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Скорее доверяю","Скорее доверяю","Скорее доверяю","5","37","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/20 12:21:22 AM GMT+8","Да","2","Редко","Телевидение;Интернет — социальные сети, блоги;Мессенджеры","Скорее доверяю","Совершенно не доверяю","Совершенно не доверяю","Совершенно не доверяю","Полностью доверяю","Полностью доверяю","Полностью доверяю","5","18","Женский","Среднее общее(11 классов)","Иркутская область","Малый город(до 50 тыс. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/20 12:23:36 AM GMT+8","Да","2","Редко","Интернет — социальные сети, блоги;Мессенджеры","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","Не уверен(а)","3","21","Женский","Среднее профессиональное","Иркутская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/20 1:44:49 AM GMT+8","Да","1","Редко","Интернет — социальные сети, блоги;Мессенджеры","Скорее не доверяю","Не уверен(а)","Не уверен(а)","Не уверен(а)","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","4","29","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Средний город(от 50 тыс. до 100 тыс. чел.)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/20 3:43:05 AM GMT+8","Да","4","Редко","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги;Мессенджеры","Не уверен(а)","Скорее доверяю","Не уверен(а)","Скорее доверяю","Не уверен(а)","Не уверен(а)","Скорее не доверяю","5","45","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения."
"2025/10/20 6:02:46 AM GMT+8","Да","3","Никогда","Интернет — новостные, аналитические, официальные сайты;Интернет — социальные сети, блоги","Скорее доверяю","Скорее доверяю","Скорее доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","5","29","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Крупный город(от 250 тыс. до 1 млн. чел)","Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна."
"2025/10/20 7:06:23 AM GMT+8","Да","4","Иногда","Телевидение","Скорее доверяю","Скорее не доверяю","Скорее не доверяю","Скорее не доверяю","Скорее доверяю","Скорее доверяю","Скорее доверяю","6","43","Женский","Высшее(бакалавриат/специалитет)","Иркутская область","Малый город(до 50 тыс. чел)","Материальных затруднений не испытываю."
