Отметка времени,Вы даете информированное согласие на участие в эксперименте и сбор данных в анонимном и обобщенном виде?,Проявляете ли вы интерес к политике?,Просматриваете ли вы федеральное ТВ?,"Пожалуйста, укажите основные источники медиа-контента, из которых вы потребляете новости.","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Федеральным телеканалам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Telegram-каналам]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Социальным сетям и блогам в интернете]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) следующим средствам массовой информации: [Новостные сайты]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Правительство РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Президент РФ]","Оцените по шкале от 1 до 5, насколько вы доверяете (1 – совершенно не доверяю, 5 – полностью доверяю) [Парламент РФ]",Доверяете ли вы данной статье?,"Пожалуйста, укажите ваш возраст.","Пожалуйста, укажите ваш пол.","Пожалуйста, укажите уровень вашего образования.","Пожалуйста, укажите субъект РФ, в котором вы проживаете.","Пожалуйста, укажите размер населённого пункта, в котором вы проживаете.","Пожалуйста, укажите ваш доход. Это необходимо только для статистики.",Treatment
10/16/2025 16:22:17,Да,2,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Не уверен(а),Скорее доверяю,Не уверен(а),5,17,Женский,Среднее общее(11 классов),Самарская область,Крупный город(от 250 тыс. до 1 млн. чел),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 16:33:42,Да,5,Никогда,"Интернет — социальные сети, блоги, Мессенджеры",Не уверен(а),Скорее доверяю,Скорее доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),5,18,Женский,Высшее(бакалавриат/специалитет),Тамбовская область,Крупный город(от 250 тыс. до 1 млн. чел),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 17:05:53,Да,1,Никогда,Мессенджеры,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,Не уверен(а),Полностью доверяю,Полностью доверяю,7,18,Мужской,Неоконченное высшее,Нижегородская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 17:25:28,Да,2,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Не уверен(а),Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,5,18,Женский,Среднее общее(11 классов),Новосибирская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 17:38:01,Да,5,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Совершенно не доверяю,Скорее доверяю,Не уверен(а),Полностью доверяю,Полностью доверяю,Полностью доверяю,Полностью доверяю,6,17,Женский,Неоконченное высшее,Москва,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 17:51:17,Да,3,Иногда,"Телевидение, Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее доверяю,Скорее доверяю,Скорее не доверяю,Не уверен(а),Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,4,17,Женский,Среднее общее(11 классов),Ростовская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 17:57:21,Да,4,Никогда,Мессенджеры,Скорее не доверяю,Не уверен(а),Скорее не доверяю,Скорее не доверяю,Скорее доверяю,Полностью доверяю,Скорее доверяю,5,18,Мужской,Неоконченное высшее,Краснодарский край,Средний город(от 50 тыс. до 100 тыс. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 18:08:08,Да,4,Никогда,"Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Скорее доверяю,Скорее доверяю,Скорее не доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,5,18,Женский,Неоконченное высшее,Республика Татарстан,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 18:15:58,Да,2,Иногда,"Телевидение, Интернет — социальные сети, блоги",Скорее доверяю,Не уверен(а),Не уверен(а),Скорее доверяю,Полностью доверяю,Полностью доверяю,Полностью доверяю,7,18,Женский,Высшее(бакалавриат/специалитет),Ростовская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 18:35:42,Да,3,Иногда,"Интернет — социальные сети, блоги, Мессенджеры",Не уверен(а),Скорее доверяю,Не уверен(а),Не уверен(а),Полностью доверяю,Полностью доверяю,Полностью доверяю,4,17,Женский,Высшее(бакалавриат/специалитет),Ростовская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 18:51:45,Да,3,Никогда,"Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Скорее доверяю,Не уверен(а),Не уверен(а),Скорее доверяю,Совершенно не доверяю,Скорее не доверяю,2,18,Женский,Среднее общее(11 классов),Московская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 19:01:56,Да,3,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Скорее не доверяю,Скорее не доверяю,Скорее доверяю,Полностью доверяю,Полностью доверяю,Скорее доверяю,5,18,Женский,Неоконченное высшее,Ростовская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 19:03:50,Да,4,Никогда,"Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее доверяю,Не уверен(а),Скорее доверяю,Скорее не доверяю,Скорее не доверяю,Не уверен(а),6,16,Мужской,Среднее основное(9 классов),Москва,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 19:10:07,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры, Знакомые из сферы",Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Совершенно не доверяю,Не уверен(а),5,18 лет,Женский,Неоконченное высшее,Москва,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 19:25:59,Да,5,Иногда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Не уверен(а),Не уверен(а),Не уверен(а),Скорее доверяю,Полностью доверяю,Полностью доверяю,Полностью доверяю,5,18,Женский,Высшее(бакалавриат/специалитет),Москва,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 19:29:00,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Мессенджеры",Совершенно не доверяю,Скорее доверяю,Не уверен(а),Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,6,24,Женский,Высшее(магистратура),Тюменская область,Крупный город(от 250 тыс. до 1 млн. чел),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 19:55:59,Да,2,Никогда,"Интернет — социальные сети, блоги, Мессенджеры",Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),5,16,Женский,Среднее общее(11 классов),Новосибирская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 20:13:06,Да,4,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Не уверен(а),Скорее не доверяю,Не уверен(а),Скорее доверяю,Не уверен(а),Не уверен(а),Не уверен(а),2,18,Мужской,Неоконченное высшее,Нижегородская область,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 20:14:43,Да,3,Никогда,"Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Скорее не доверяю,Совершенно не доверяю,Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),4,18,Мужской,Неоконченное высшее,Москва,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/16/2025 20:36:16,Да,3,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,3,33,Мужской,Неоконченное высшее,Нижегородская область,Город-миллионник(более 1 млн. чел.),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",1
10/16/2025 20:44:45,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Совершенно не доверяю,Скорее не доверяю,6,18,Мужской,Неоконченное высшее,Санкт-Петербург,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/16/2025 21:10:47,Да,2,Никогда,"Интернет — новостные, аналитические, официальные сайты, Мессенджеры",Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),4,17,Женский,Среднее общее(11 классов),Москва,Город-миллионник(более 1 млн. чел.),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",1
10/16/2025 22:03:20,Да,5,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Совершенно не доверяю,Не уверен(а),Скорее доверяю,Скорее доверяю,Скорее не доверяю,Совершенно не доверяю,Совершенно не доверяю,4,18,Мужской,Среднее общее(11 классов),Москва,Город-миллионник(более 1 млн. чел.),Материальных затруднений не испытываю.,1
10/16/2025 22:36:47,Да,3,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее не доверяю,Не уверен(а),Не уверен(а),Скорее доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,5,19,Мужской,Неоконченное высшее,Санкт-Петербург,Город-миллионник(более 1 млн. чел.),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",1
10/16/2025 23:45:27,Да,5,Иногда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Скорее доверяю,Полностью доверяю,Скорее доверяю,3,16,Женский,Среднее общее(11 классов),Москва,Город-миллионник(более 1 млн. чел.),"Хватает доходов на новый легковой автомобиль, но покупка недвижимости затруднительна.",1
10/17/2025 0:08:15,Да,3,Редко,Мессенджеры,Совершенно не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Не уверен(а),Совершенно не доверяю,Скорее не доверяю,4,17,Женский,Неоконченное высшее,Ростовская область,Город-миллионник(более 1 млн. чел.),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",1
10/17/2025 0:19:35,Да,3,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее доверяю,Скорее доверяю,6,18,Не скажу,Среднее общее(11 классов),Республика Карелия,Большой город(от 100 тыс. до 250 тыс. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/17/2025 0:25:43,Да,5,Иногда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее не доверяю,Не уверен(а),Не уверен(а),Скорее доверяю,Не уверен(а),Скорее доверяю,Скорее не доверяю,5,17,Мужской,Среднее основное(9 классов),Новосибирская область,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/17/2025 4:18:32,Да,5,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее доверяю,Не уверен(а),Скорее доверяю,Не уверен(а),Не уверен(а),Не уверен(а),5,17,Женский,Неоконченное высшее,Санкт-Петербург,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/17/2025 4:36:19,Да,2,Иногда,"Интернет — новостные, аналитические, официальные сайты",Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),5,22,Женский,Неоконченное высшее,Московская область,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/19/2025 22:03:26,Да,5,Редко,Мессенджеры,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее доверяю,Совершенно не доверяю,1,42,Мужской,Высшее(магистратура),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/19/2025 22:09:54,Да,3,Иногда,"Интернет — социальные сети, блоги, Мессенджеры",Не уверен(а),Совершенно не доверяю,Скорее не доверяю,Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),4,30,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/19/2025 22:19:48,Да,4,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Скорее доверяю,Полностью доверяю,Скорее не доверяю,4,42,Мужской,Высшее(бакалавриат/специалитет),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег не хватает даже на продукты, ""еле свожу концы с концами"".",1
10/19/2025 22:23:43,Да,3,Редко,Мессенджеры,Совершенно не доверяю,Скорее не доверяю,Совершенно не доверяю,Совершенно не доверяю,Скорее не доверяю,Не уверен(а),Совершенно не доверяю,4,41,Женский,Неоконченное высшее,Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/19/2025 22:24:09,Да,3,Никогда,Мессенджеры,Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Не уверен(а),Скорее не доверяю,Скорее не доверяю,1,26,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/19/2025 22:26:53,Да,3,Иногда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Полностью доверяю,Скорее доверяю,4,29,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/19/2025 22:49:21,Да,3,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,3,39,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/19/2025 23:56:23,Да,1,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),1,29,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Средний город(от 50 тыс. до 100 тыс. чел.),Материальных затруднений не испытываю.,1
10/20/2025 0:50:35,Да,3,Редко,"Телевидение, Интернет — социальные сети, блоги",Не уверен(а),Не уверен(а),Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,4,31,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Малый город(до 50 тыс. чел),"Могу без труда приобретать крупную бытовую технику, но покупка нового легкового автомобиля затруднительна.",1
10/20/2025 6:02:23,Да,3,Иногда,"Телевидение, Интернет — новостные, аналитические, официальные сайты",Полностью доверяю,Скорее не доверяю,Совершенно не доверяю,Не уверен(а),Полностью доверяю,Полностью доверяю,Полностью доверяю,1,35,Женский,Среднее профессиональное,Иркутская область,Малый город(до 50 тыс. чел),Материальных затруднений не испытываю.,1
10/20/2025 6:31:36,Да,3,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,6,19,Женский,Среднее общее(11 классов),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/20/2025 7:12:19,Да,3,Никогда,"Интернет — социальные сети, блоги, Мессенджеры",Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,2,24,Женский,Высшее(бакалавриат/специалитет),Иркутская область,Средний город(от 50 тыс. до 100 тыс. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/20/2025 10:48:01,Да,1,Редко,Мессенджеры,Скорее не доверяю,Скорее не доверяю,Совершенно не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,1,41,Женский,Высшее(магистратура),Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"На продукты денег хватает, но покупка одежды вызывает затруднения.",1
10/20/2025 11:20:18,Да,1,Редко,"Интернет — социальные сети, блоги",Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Скорее не доверяю,Скорее не доверяю,Скорее не доверяю,4,33,Женский,Среднее профессиональное,Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/22/2025 11:22:23,Да,1,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее не доверяю,Скорее доверяю,Скорее доверяю,Не уверен(а),3,17,Женский,Среднее профессиональное,Иркутская область,Крупный город(от 250 тыс. до 1 млн. чел),Материальных затруднений не испытываю.,1
10/22/2025 21:36:27,Да,2,Никогда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее не доверяю,Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),Не уверен(а),4,17,Не скажу,Среднее общее(11 классов),Московская область,Средний город(от 50 тыс. до 100 тыс. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",1
10/22/2025 23:06:48,Да,3,Иногда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее не доверяю,Скорее доверяю,Не уверен(а),Не уверен(а),Скорее доверяю,Полностью доверяю,Скорее доверяю,6,17,Женский,Среднее основное(9 классов),Московская область,Большой город(от 100 тыс. до 250 тыс. чел.),Материальных затруднений не испытываю.,1
10/16/2025 15:39:16,Да,3,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее доверяю,Скорее не доверяю,Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,5,18,Женский,Среднее общее(11 классов),Саратовская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 15:44:43,Да,5,Редко,"Интернет — социальные сети, блоги, Мессенджеры",Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Не уверен(а),Не уверен(а),Скорее доверяю,4,18 лет,Мужской,Среднее общее(11 классов),Москва,Город-миллионник(более 1 млн. чел.),"На продукты денег хватает, но покупка одежды вызывает затруднения.",0
10/16/2025 15:47:54,Да,4,Редко,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Скорее не доверяю,Совершенно не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,5,19,Женский,Среднее общее(11 классов),Саратовская область,Крупный город(от 250 тыс. до 1 млн. чел),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 15:48:23,Да,5,Никогда,"Интернет — социальные сети, блоги, Мессенджеры",Совершенно не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Совершенно не доверяю,Совершенно не доверяю,Совершенно не доверяю,1,18,Мужской,Среднее общее(11 классов),Санкт-Петербург,Город-миллионник(более 1 млн. чел.),"Денег хватает на покупку продуктов и одежды, но покупка крупной бытовой техники вызывает затруднения.",0
10/16/2025 15:49:44,Да,3,Иногда,"Интернет — новостные, аналитические, официальные сайты, Интернет — социальные сети, блоги",Не уверен(а),Скорее доверяю,Скорее не доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,Скорее доверяю,5,17,Мужской,Среднее общее(11 классов),Калужская область,Большой город(от 100 тыс. до 250 тыс. чел.),Материальных затруднений не испытываю.,0
